empresa,pabellon,stand,ciudad,representante,email_principal,emails_adicionales,total_emails,descripcion_negocio,sitio_web
Austin Ingenieros Chile Ltda.,Exterior A,026A,Antofagasta,Felipe Ramírez (Gte. Comercial),sales@austineng.co.id,sales@austineng.com.au | sales@austining.cl | sales@wstch.com | admin@mainetec.com.au | austbore@austineng.com.au | enquiry@austineng.com.au | parts@austineng.com.au,8,"Discover top-tier engineering solutions and services from one of the leading mining equipment manufacturers, Austin Engi",www.austining.cl
ELB - Transportes El Libertador,Exterior A,025,Chile,No encontrado,antofagasta@elb.cl,copiapo@elb.cl | pozoalmonte@elb.cl | santiago@elb.cl,4,"El Libertador Somos un partner logístico, especialistas en el transporte de carga segura Servicios Hacemos transporte de",www.elb.cl
Emeser Ltda.,Exterior A,029,Chile,No encontrado,lisandrovasquez@emeser.cl,,1,"Especialistas en reparaciÃ³n de asientos Grammer, ISRI y KAB, frenos hidrÃ¡ulicos CAEX y mantenimiento de cabinas para e",www.emeser.cl
Loa Rental SpA,Exterior A,031,Antofagasta,No encontrado,contacto@loarental.cl,,1,"Loa Rental Ir al contenido CONSTRUCCIÓN, MANTENCIÓN, ARRIENDO DE EQUIPOS Y SERVICIOS MULTIDISCIPLINARIOS CONSTRUCCIÓN, M",www.loarental.cl
Mine Trust SpA,Exterior A,035,Chile,No encontrado,contacto@minetrust.com,,1,La Confiabilidad que Mantiene en Marcha a la Gran Minería.,www.minetrust.com
Radiadores Gómez Ltda.,Exterior A,008-010,Chile,No encontrado,contacto@rgomez.cl,aibacache@rgomez.cl,2,Radiadores Gómez – Radiadores industriales Ir al contenido Menu Contacto Expertos en Transferencia de Calor Más de 50 añ,www.rgomez.cl
Sociedad Comercial Socoval SpA,Exterior A,011,Chile,No encontrado,contacto@coval.cl,ejemplo@correo.com,2,"Servicios financieros 100% digitales para el desarrollo de empresas: Factoring, Leasing y Capital de Trabajo. Descubre C",www.coval.cl
Sumin Chile Spa.,Exterior A,001,Chile,No encontrado,ventas@suminchile.cl,,1,"Suminchile | Minera y Sector Industrial. INNOVACIÓN QUE CONSTRUYE, CALIDAD QUE PERDURA SERVICIOS PARA LA MINERÍA Y SECTO",www.suminchile.cl
Zamine Service Chile SpA,Exterior A,012-023,Santiago,No encontrado,info@zamineservice.com,,1,"ZAMine is a subsidiary of Marubeni Group, is a full service provider involved in mining equipment.",www.zamineservice.com
American Parts SpA,Exterior B,46,Chile,No encontrado,info@americanparts.cl,,1,American Parts – Repuestos Originales Importados REPUESTOS DE MOTOR ORIGINALES Importados desde USA / EUROPA PRODUCTOS S,www.americanparts.cl
Detroit S.A.,Exterior B,053,Chile,No encontrado,detroit@detroit.cl,,1,Inicio - Detroit Chile MENU MENU Nosotros División Motores Motores Industrial Marino Generación Generadores Gas Generado,www.detroit.cl
Imer Chile (Cappellotto - Fassi),Exterior B,043,Santiago,No encontrado,info@imerchile.cl,,1,"IMERCHILE empresa líder en venta y mantención de las marcas  FASSI, MARREL, CAPPELLOTO, DHOLLANDIA, SCORZA, STELLAR, VER",www.imerchile.cl
Módulos S.A.,Exterior B,069,Chile,No encontrado,info@modulos.cl,,1,Modulos - Inicio Soluciones portables para llevar el trabajo donde se necesite. Pide una Cotización Descubre nuestras so,www.modulos.cl
Prok Conveyor Equipment SpA,Exterior B,38,Santiago,No encontrado,info@prok.com,conveyors.au@prok.com | conveyors.id@prok.com | vendas.brasil@prok.com,4,Discover how our conveyor technology solutions optimise your operations. Industry leaders in material handling for effic,www.prok.com
Tecic SpA,Exterior B,056-057,Chile,No encontrado,ventas@tecic.cl,,1,Previous slide Next slide Previous slide Next slide Ingeniería eIntegración de Tableros y SalasEléctricas ¿Interesado? C,www.tecic.cl
Teck Resources Chile,Exterior B,053A,Santiago,No encontrado,marketing.sales@teck.com,sales@irm.com | info@cesl.com | info@miningsurplus.com | amanda.younes@teck.com | art@teck.com | bernard.ho@teck.com | correspondence@equiniti.com | dale.steeves@teck.com | exploration@teck.com | industrialproducts@teck.com | investors@teck.com | jennifer.coe@teck.com | keith.zhang@teck.com | lostcertificates@tmx.com | shareholderinquiries@tmx.com | tai@teck.com | tirederivedpolymer@teck.com,18,"Learn about Teck, a Canadian resource company focused on responsibly providing the metals essential for global developme",www.teck.com
TTPM S.A.,Exterior B,55,Chile,No encontrado,ttpm@ttpm.cl,,1,TTPM Skip to content Soluciones Industriales que Mueven el Norte Productos especializados en transmisión de potencia mec,www.ttpm.cl
Constructora El Sauce S.A.,Exterior C,90,Chile,No encontrado,ccarreno@elsauce.cl,oficina@elsauce.cl,2,"En Constructora El Sauce, somos especialistas en movimiento de tierras, caminos, plataformas, muros, diques, pilas de li",www.elsauce.cl
HCA Minería,Exterior C,093-099,Chile,No encontrado,ventas@hcamineria.cl,,1,"Servicios y productos de clase mundial para una minería más segura, eficiente y sostenible Contáctanos Productos Drenaje",www.hcamineria.cl
