xl1xv1r src,x1i10hfl href 3,Primer segmento,Segundo segmento,tercer segmento,likes,Respuestas,repost,x1rg5ohu
https://instagram.fanf3-1.fna.fbcdn.net/v/t51.82787-19/516057853_17913065358119628_1912152155195990180_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fanf3-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2gGj7cZ2yyHRxsJbpdZ6EeEtbMXjlXNRl3Rf-88W0wfwqLRnFvrIjoB9_BCtTTKyMS4&_nc_ohc=gIdngAi6B-UQ7kNvwGmWxCh&_nc_gid=YPFZ0EGr4plBrSjrfquqiA&edm=AAGeoI8BAAAA&ccb=7-5&oh=00_Afx_6FZIvipKYgAb1GzUiIvUKgYa1IFTkXJv2Yk8pJcp3w&oe=69D05490&_nc_sid=b0e1a0,https://www.threads.com/@hormozi/post/DWMz0ESj5m9,"When I want to hurt someone who hurt me, I remind myself that tomorrow they’ll wake up and still be themselves. And that there’s no pain I can inflict upon them that’s worse than them being themselves. And that helps me get over it.",,,"1,2 mil",96,124,22/03/2026
https://instagram.fanf3-1.fna.fbcdn.net/v/t51.82787-19/516057853_17913065358119628_1912152155195990180_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fanf3-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2gGj7cZ2yyHRxsJbpdZ6EeEtbMXjlXNRl3Rf-88W0wfwqLRnFvrIjoB9_BCtTTKyMS4&_nc_ohc=gIdngAi6B-UQ7kNvwGmWxCh&_nc_gid=YPFZ0EGr4plBrSjrfquqiA&edm=AAGeoI8BAAAA&ccb=7-5&oh=00_Afx_6FZIvipKYgAb1GzUiIvUKgYa1IFTkXJv2Yk8pJcp3w&oe=69D05490&_nc_sid=b0e1a0,https://www.threads.com/@hormozi/post/DWMV8g0EXu-,The easiest way to avoid criticism is to avoid being open. It’s also the easiest way to avoid being loved.,,,560,54,40,22/03/2026
https://instagram.fanf3-1.fna.fbcdn.net/v/t51.82787-19/516057853_17913065358119628_1912152155195990180_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fanf3-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2gGj7cZ2yyHRxsJbpdZ6EeEtbMXjlXNRl3Rf-88W0wfwqLRnFvrIjoB9_BCtTTKyMS4&_nc_ohc=gIdngAi6B-UQ7kNvwGmWxCh&_nc_gid=YPFZ0EGr4plBrSjrfquqiA&edm=AAGeoI8BAAAA&ccb=7-5&oh=00_Afx_6FZIvipKYgAb1GzUiIvUKgYa1IFTkXJv2Yk8pJcp3w&oe=69D05490&_nc_sid=b0e1a0,https://www.threads.com/@hormozi/post/DWKUK0GD7rI,The main difference between video games and reality is that feedback loops are slower but there are far more ways to win.,,,241,33,7,21/03/2026
https://instagram.fanf3-1.fna.fbcdn.net/v/t51.82787-19/516057853_17913065358119628_1912152155195990180_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fanf3-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2gGj7cZ2yyHRxsJbpdZ6EeEtbMXjlXNRl3Rf-88W0wfwqLRnFvrIjoB9_BCtTTKyMS4&_nc_ohc=gIdngAi6B-UQ7kNvwGmWxCh&_nc_gid=YPFZ0EGr4plBrSjrfquqiA&edm=AAGeoI8BAAAA&ccb=7-5&oh=00_Afx_6FZIvipKYgAb1GzUiIvUKgYa1IFTkXJv2Yk8pJcp3w&oe=69D05490&_nc_sid=b0e1a0,https://www.threads.com/@hormozi/post/DWJt8jzkVxl,"If CAC stays flat as you scale, your brand + CRO are working.",,,254,12,4,21/03/2026
https://instagram.fanf3-1.fna.fbcdn.net/v/t51.82787-19/516057853_17913065358119628_1912152155195990180_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fanf3-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2gGj7cZ2yyHRxsJbpdZ6EeEtbMXjlXNRl3Rf-88W0wfwqLRnFvrIjoB9_BCtTTKyMS4&_nc_ohc=gIdngAi6B-UQ7kNvwGmWxCh&_nc_gid=YPFZ0EGr4plBrSjrfquqiA&edm=AAGeoI8BAAAA&ccb=7-5&oh=00_Afx_6FZIvipKYgAb1GzUiIvUKgYa1IFTkXJv2Yk8pJcp3w&oe=69D05490&_nc_sid=b0e1a0,https://www.threads.com/@hormozi/post/DWHsZlvASna,"The world will reward you in proportion to your courage, not your intellect.",,,898,94,83,20/03/2026
https://instagram.fanf3-1.fna.fbcdn.net/v/t51.82787-19/516057853_17913065358119628_1912152155195990180_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fanf3-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2gGj7cZ2yyHRxsJbpdZ6EeEtbMXjlXNRl3Rf-88W0wfwqLRnFvrIjoB9_BCtTTKyMS4&_nc_ohc=gIdngAi6B-UQ7kNvwGmWxCh&_nc_gid=YPFZ0EGr4plBrSjrfquqiA&edm=AAGeoI8BAAAA&ccb=7-5&oh=00_Afx_6FZIvipKYgAb1GzUiIvUKgYa1IFTkXJv2Yk8pJcp3w&oe=69D05490&_nc_sid=b0e1a0,https://www.threads.com/@hormozi/post/DWHPGp1FNz2,It’s often our enemies grow us more than our friends.,Which means sometimes people we hate may do us more good than the people we love.,,383,59,28,20/03/2026
https://instagram.fanf3-1.fna.fbcdn.net/v/t51.82787-19/516057853_17913065358119628_1912152155195990180_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fanf3-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2gGj7cZ2yyHRxsJbpdZ6EeEtbMXjlXNRl3Rf-88W0wfwqLRnFvrIjoB9_BCtTTKyMS4&_nc_ohc=gIdngAi6B-UQ7kNvwGmWxCh&_nc_gid=YPFZ0EGr4plBrSjrfquqiA&edm=AAGeoI8BAAAA&ccb=7-5&oh=00_Afx_6FZIvipKYgAb1GzUiIvUKgYa1IFTkXJv2Yk8pJcp3w&oe=69D05490&_nc_sid=b0e1a0,https://www.threads.com/@hormozi/post/DWFE229j6Q1,"It always takes longer, costs more, and isn’t as easy as you thought it would be.","And the expectation that it shouldn’t, just makes it take longer, cost more, and be even harder should be.",,358,50,16,19/03/2026
https://instagram.fanf3-1.fna.fbcdn.net/v/t51.82787-19/516057853_17913065358119628_1912152155195990180_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fanf3-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2gGj7cZ2yyHRxsJbpdZ6EeEtbMXjlXNRl3Rf-88W0wfwqLRnFvrIjoB9_BCtTTKyMS4&_nc_ohc=gIdngAi6B-UQ7kNvwGmWxCh&_nc_gid=YPFZ0EGr4plBrSjrfquqiA&edm=AAGeoI8BAAAA&ccb=7-5&oh=00_Afx_6FZIvipKYgAb1GzUiIvUKgYa1IFTkXJv2Yk8pJcp3w&oe=69D05490&_nc_sid=b0e1a0,https://www.threads.com/@hormozi/post/DWEoIgfFJP9,"Above your intelligence, above your work ethic, you will be compensated in proportion to your risk.",,,658,65,46,19/03/2026
https://instagram.fanf3-1.fna.fbcdn.net/v/t51.82787-19/516057853_17913065358119628_1912152155195990180_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fanf3-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2gGj7cZ2yyHRxsJbpdZ6EeEtbMXjlXNRl3Rf-88W0wfwqLRnFvrIjoB9_BCtTTKyMS4&_nc_ohc=gIdngAi6B-UQ7kNvwGmWxCh&_nc_gid=YPFZ0EGr4plBrSjrfquqiA&edm=AAGeoI8BAAAA&ccb=7-5&oh=00_Afx_6FZIvipKYgAb1GzUiIvUKgYa1IFTkXJv2Yk8pJcp3w&oe=69D05490&_nc_sid=b0e1a0,https://www.threads.com/@hormozi/post/DWCiHzqick5,"The more you win the less people will tell you ""good job"" because it's no longer an exception; it becomes the expectation.",,,875,59,82,18/03/2026
https://instagram.fanf3-1.fna.fbcdn.net/v/t51.82787-19/516057853_17913065358119628_1912152155195990180_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fanf3-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2gGj7cZ2yyHRxsJbpdZ6EeEtbMXjlXNRl3Rf-88W0wfwqLRnFvrIjoB9_BCtTTKyMS4&_nc_ohc=gIdngAi6B-UQ7kNvwGmWxCh&_nc_gid=YPFZ0EGr4plBrSjrfquqiA&edm=AAGeoI8BAAAA&ccb=7-5&oh=00_Afx_6FZIvipKYgAb1GzUiIvUKgYa1IFTkXJv2Yk8pJcp3w&oe=69D05490&_nc_sid=b0e1a0,https://www.threads.com/@hormozi/post/DWCHOx5iQ0e,You will know you have won when the people you’ve beaten diminish your win by claiming moral superiority.,Since they couldn’t beat you on the field they’ll make up new rules and call themselves victors.,,329,45,16,18/03/2026
